date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-09-07,2695768,986984,585,179,538,161,307,52,0.00173605443791899,5.312029818589731e-4,0.0043607596475728075,0.0013049856937903757,9.110576281044957e-4,1.5431595003724357e-4,0,449,0,0,201601
2016-09-08,4604368,1451912,1376,334,1272,295,761,76,0.0023907732831085615,5.803185149405955e-4,0.007008689231854273,0.0016254428643058256,0.0013222227241610576,1.320485243577403e-4,0,450,0,0,202500
2016-09-09,3513248,1117720,1667,255,1552,235,1225,83,0.0037959176238056636,5.806592645893487e-4,0.011108327667036467,0.0016819954908205992,0.002789441565184126,1.8899889788594486e-4,0,451,0,0,203401
2016-09-10,3959224,1316920,1399,494,1236,405,678,96,0.0028268165680951623,9.981754000278843e-4,0.007508428758011117,0.0024602861221638367,0.0013699654275686347,1.93977405673435e-4,0,452,0,0,204304
2016-09-11,6581992,2285288,1401,435,1302,397,831,167,0.0017028279584660692,5.287153190098074e-4,0.00455785003903228,0.0013897591900889515,0.001010028574935977,2.0297806499916743e-4,0,453,0,0,205209
2016-09-12,5960912,2156696,1813,570,1702,539,1322,363,0.002433184720727298,7.649836132457583e-4,0.006313360807457332,0.001999354568284079,0.0017742251521243727,4.8717377475124616e-4,0,454,0,0,206116
2016-09-13,4943232,1701152,1256,288,1172,272,741,90,0.002032678215386209,4.6609182008855747e-4,0.005511559225748199,0.0012791331991497527,0.001199215412102851,1.456536937776742e-4,0,455,0,0,207025
2016-09-14,4691728,1529464,1550,374,1443,338,999,93,0.0026429494633960025,6.377181285871645e-4,0.00754774221557356,0.0017679396180622755,0.0017034235573758752,1.5857696780376015e-4,0,456,0,0,207936
2016-09-15,3765512,1275664,2344,466,2085,445,1642,204,0.004979933671702547,9.900380081115131e-4,0.013075543403278607,0.002790703508133803,0.003488503024289924,4.3340719668401003e-4,0,457,0,0,208849
2016-09-16,4963496,1443664,1422,403,1310,348,682,88,0.0022919329440378314,6.49542177529709e-4,0.007259306874729854,0.0019284265590885413,0.001099225223511815,1.4183551271120193e-4,0,458,0,0,209764
2016-09-17,3541504,1209480,1032,268,928,239,571,31,0.002331212953592598,6.053925112042793e-4,0.006138175083506962,0.0015808446605152626,0.001289847477230013,7.002674569900246e-5,0,459,0,0,210681
2016-09-18,3511512,1155920,1054,326,992,307,609,117,0.0024012448198952475,7.427000107076382e-4,0.006865527026091771,0.0021247145131150945,0.001387436523070404,2.665518443337229e-4,0,460,0,0,211600
2016-09-19,4425016,1709528,2290,371,2181,347,1666,113,0.004140098024504318,6.70732038031049e-4,0.010206325956638325,0.001623840030698532,0.0030119665104035784,2.042930466240122e-4,0,461,0,0,212521
2016-09-20,4364088,1559344,1853,331,1741,301,1300,96,0.003396815096304199,6.06770532583211e-4,0.008931961132373614,0.001544239115935932,0.0023830866838615537,1.7598178588516087e-4,0,462,0,0,213444
2016-09-21,3627048,1275344,1418,217,1330,206,1030,29,0.0031276123172342906,4.786261444568696e-4,0.008342847106349346,0.0012922003788781694,0.0022718199483436666,6.396386262326828e-5,0,463,0,0,214369
2016-09-22,3339872,1342376,1105,208,1043,199,664,21,0.002646808021385251,4.982226863784002e-4,0.006215844145008552,0.0011859568407063296,0.0015904801142079697,5.030132891320386e-5,0,464,0,0,215296
2016-09-23,3592728,1375568,1616,270,1526,242,1057,53,0.0035983798383846482,6.012144531954548e-4,0.008874879322578019,0.0014074186081676806,0.0023536432482503546,1.1801617044207077e-4,0,465,0,0,216225
2016-09-24,4082504,1369264,1411,390,1296,358,895,138,0.00276496973426113,7.642368507171089e-4,0.007571951062760724,0.0020916346299910027,0.0017538255933123397,2.7042227025374623e-4,0,466,0,0,217156
2016-09-25,3910128,1429568,3378,2078,3229,2036,2764,1805,0.006911282699696787,0.004251523223792162,0.018069794511348884,0.011393651788512335,0.005655057839538757,0.0036929737338521913,0,467,0,0,218089
2016-09-26,4548200,1823448,2467,556,2329,525,1869,296,0.004339299063365727,9.779693065388505e-4,0.010218004571558937,0.0023033286389302025,0.0032874543775559565,5.206455300998198e-4,0,468,0,0,219024
